epoch,train_loss,val_loss,val_pixel,val_struct,val_edge,val_psnr,val_ssim,lr,epoch_time_sec
1,0.14647980137831634,0.1276852611452341,0.03481989447027445,0.2553961008787155,0.13928714767098427,25.07167958977424,0.7446038991212844,9.972609476841367e-05,104.11
2,0.1309701876507865,0.12489049099385738,0.03401174414902926,0.24801908135414125,0.1375830926001072,25.167076931961297,0.7519809186458588,9.890738003669029e-05,105.72
3,0.12823744234111573,0.12357254773378372,0.03421549741178751,0.24479971826076508,0.13465701192617416,25.151277447576057,0.7552002817392349,9.755282581475769e-05,106.59
4,0.12659615998466808,0.12207565642893314,0.0337291800417006,0.24223012924194337,0.1330014917999506,25.218542235670842,0.7577698707580567,9.567727288213003e-05,107.57
5,0.125721705539359,0.12144033685326576,0.033511022198945285,0.239715376496315,0.13328745365142822,25.21694521878969,0.760284623503685,9.330127018922194e-05,106.73
6,0.1246724236342642,0.12102090865373612,0.03271436598151922,0.23967087268829346,0.1345745526254177,25.405740517480307,0.7603291273117065,9.045084971874738e-05,106.48
7,0.1240245314521922,0.12036256343126298,0.032648449577391145,0.23871878385543824,0.1332345187664032,25.44115803009972,0.7612812161445618,8.715724127386972e-05,107.36
8,0.12323674493365817,0.11918953061103821,0.03252558624371886,0.23598962426185607,0.13155338764190674,25.451489485697216,0.7640103757381439,8.345653031794292e-05,108.0
9,0.1227819877780146,0.11891460418701172,0.032519906759262085,0.2357353985309601,0.13082538396120072,25.447480462566112,0.76426460146904,7.938926261462366e-05,107.32
10,0.12233159223364459,0.11894027665257453,0.0324657023884356,0.23568440675735475,0.1311256393790245,25.483213725280784,0.7643155932426453,7.500000000000001e-05,106.51
11,0.12197094211975733,0.11790928170084954,0.03231795914471149,0.23327511548995972,0.1297876600176096,25.493242349133766,0.7667248845100403,7.033683215379003e-05,106.16
12,0.12142999457816282,0.1176018700003624,0.03234660550951958,0.2323346883058548,0.1292944148182869,25.47348858235154,0.7676653116941452,6.545084971874738e-05,95.14
13,0.12117679421272542,0.11744102463126183,0.03219362664967775,0.23205631375312805,0.12945377975702285,25.511974933217857,0.7679436862468719,6.039558454088797e-05,88.11
14,0.12073094120456113,0.1169297706335783,0.032155439537018535,0.2309869945049286,0.1285897646099329,25.52140749894079,0.7690130054950715,5.522642316338269e-05,88.67
15,0.12043845947417949,0.11721745394170284,0.0322833115234971,0.23023272454738616,0.12962531186640264,25.471766780019387,0.7697672754526138,5.000000000000002e-05,87.96
16,0.12021062030560441,0.1164909079670906,0.032110406924039124,0.22972994148731232,0.12811503931879997,25.520026853912892,0.7702700585126877,4.4773576836617344e-05,87.58
17,0.12009315138889684,0.11656734384596348,0.03223982872441411,0.2306552141904831,0.12732156924903393,25.506263866610734,0.7693447858095169,3.9604415459112035e-05,87.72
18,0.11980588138103485,0.11624261885881423,0.03183483202010393,0.22966156005859376,0.12825157456099986,25.59750985447877,0.7703384399414063,3.4549150281252636e-05,87.91
19,0.11968844677839015,0.11607266552746295,0.031907383166253564,0.2287509858608246,0.12805027663707733,25.580329912771273,0.7712490141391755,2.9663167846209998e-05,87.9
20,0.11939978976216581,0.11607571914792061,0.03213451113551855,0.22801508903503417,0.12779396027326584,25.519712057182726,0.7719849109649658,2.5000000000000018e-05,87.95
21,0.11922910569442643,0.11577743366360664,0.031749395001679656,0.22825495302677154,0.1279234942048788,25.60176786487916,0.7717450469732284,2.0610737385376356e-05,87.69
22,0.1190351845489608,0.11575689278542996,0.03175741108134389,0.2280866414308548,0.1279405102133751,25.615986474578364,0.7719133585691452,1.654346968205711e-05,88.22
23,0.1189770689027177,0.11555785164237023,0.03187567861750722,0.22818582355976105,0.12681668624281883,25.581362614395676,0.771814176440239,1.2842758726130297e-05,88.1
24,0.11883340945674313,0.11545039676129817,0.03174492251127958,0.22776879668235778,0.1271723762154579,25.621375729411927,0.7722312033176422,9.549150281252636e-06,88.14
25,0.11876412394146124,0.11545144319534302,0.031678935047239065,0.22760226130485534,0.12750684656202793,25.62276119853953,0.7723977386951446,6.698729810778068e-06,87.84
26,0.118698833634456,0.11537635400891304,0.031680367141962054,0.22758185267448425,0.12726537957787515,25.625432209605123,0.7724181473255157,4.322727117869953e-06,92.06
27,0.11863026772108343,0.11535741277039051,0.03166292971000075,0.22757783830165862,0.12726304717361928,25.629285489523955,0.7724221616983413,2.447174185242324e-06,88.15
28,0.11859326648215453,0.11535010449588298,0.03166631683707237,0.22734861671924592,0.12738020308315753,25.62716256925406,0.7726513832807541,1.092619963309716e-06,88.15
29,0.1185670505795214,0.11532275713980197,0.031680172123014924,0.22744384109973909,0.12717938385903835,25.62788980551924,0.772556158900261,2.7390523158633003e-07,87.77
30,0.11855128738615248,0.11530725955963135,0.03169544851407409,0.22744492590427398,0.1270760778337717,25.62435092128872,0.772555074095726,0.0,89.41
